"","fips","drought_value","avg_fire_last","times","STNAME","CTYNAME","CENSUS2010POP","elevation","WAT_LAND","NVG_LAND","URB_LAND","GRS_LAND","FOR_LAND","CULT_LAND","slope","mean_QV2M","mean_WS10M","mean_WS50M","mean_PRECTOT"
"1","01001",3.70270841094616,1848.10588235294,231,"Alabama","Autauga County",54571,63,0.997399985790253,27.9404983520508,0.28889998793602,2.75027370452881,10.7147026062012,57.3082237243652,"large",10.6977052384676,2.03955043002346,4.01424550430023,3.75200156372166
"2","01003",3.76497308497545,962.163461538462,753,"Alabama","Baldwin County",182265,52,0,0,3.50099992752075,4.9724555015564,28.6859912872314,62.8405532836914,"small",12.3646012509773,2.65131352619234,4.41267005473026,4.37246677091478
"3","01005",4.28617157495094,514.787234042553,169,"Alabama","Barbour County",27457,146,0,0,0.414599984884262,2.22560167312622,22.9528388977051,74.4069595336914,"medium",11.0707310398749,2.22468725566849,4.21881939014855,3.57724394057858
"4","01007",3.70030315194539,939.117647058823,199,"Alabama","Bibb County",22915,93,0,0,0.228299990296364,8.67466449737549,89.1721115112305,1.92492389678955,"large",10.4862275215012,1.75025019546521,3.78829945269742,3.9070406567631
"5","01009",3.68341660294172,4607.30337078652,209,"Alabama","Blount County",57322,198,0,0,1.00370001792908,8.60685634613037,88.4700469970703,1.91939699649811,"large",10.1087842064113,1.88348709929633,3.94747068021892,3.88940578577014
"6","01011",4.11762927941178,652.1,128,"Alabama","Bullock County",10914,152,0,0,0.345800012350082,8.8375825881958,90.1595230102539,0.657094597816467,"medium",10.7519624706802,1.93291243158718,3.95324863174355,3.56444878811572
"7","01013",3.70328853242716,968.186206896552,357,"Alabama","Butler County",20947,103,0,0,0.33610001206398,8.23111152648926,85.9736938476563,5.4590950012207,"medium",11.1763408913213,1.72419859265051,3.76535574667709,3.83802971071149
"8","01015",3.93383252200537,2009.36597938144,318,"Alabama","Calhoun County",118572,269,0,0,5.38899993896484,7.89746856689453,45.2597885131836,41.453742980957,"large",9.91765832681783,1.89965598123534,3.93391321344801,3.64778733385458
"9","01017",4.44803214067239,703.45918367347,211,"Alabama","Chambers County",34215,239,0,0,0.347699999809265,8.83713912963867,90.1598129272461,0.65534782409668,"medium",10.4098827208757,1.82838545738858,3.8759538702111,3.5978694292416
"10","01019",3.81539800248285,706.654676258992,310,"Alabama","Cherokee County",25989,196,0,0,11.3207006454468,13.7449541091919,24.0797576904297,50.8545875549316,"large",9.72792806880375,1.96803752931978,3.9407310398749,3.70065285379202
"11","01021",3.77998609575683,2732.61235955056,377,"Alabama","Chilton County",43643,187,0,0,0.7742999792099,8.26869010925293,71.5093536376953,19.4476566314697,"large",10.6977052384676,2.03955043002346,4.01424550430023,3.75200156372166
"12","01023",3.42701422250355,986.546875,192,"Alabama","Choctaw County",13859,79,0,0,0.57779997587204,8.38449192047119,87.2026290893555,3.83507943153381,"large",11.3667513682565,1.64246677091478,3.67580531665364,4.31171227521501
"13","01025",3.47935432774614,922.5,192,"Alabama","Clarke County",25833,111,0,0,0.70855313539505,8.89110946655273,90.3910903930664,0.00924679823219776,"medium",11.3485535574668,1.66715793588741,3.68435105551212,4.11510164190774
"14","01027",4.29992483779483,4197.26363636363,237,"Alabama","Clay County",13932,303,0,0,0.668400883674622,8.893141746521,90.4117584228516,0.0266991294920444,"large",10.1397107114934,1.83869429241595,3.90655590304926,3.66716184519156
"15","01029",4.06112104376807,1380.18404907976,320,"Alabama","Cleburne County",14972,299,0,0,0.762709498405457,8.88690376281738,90.3483963012695,0.0019905399531126,"large",9.91765832681783,1.89965598123534,3.93391321344801,3.64778733385458
"16","01031",4.01472945973184,655.870967741935,118,"Alabama","Coffee County",49948,120,0,34.6521987915039,1.05799996852875,0.352749317884445,4.62424659729004,59.3128051757813,"medium",11.4955824863174,2.48259186864738,4.43792806880375,3.90008991399531
"17","01033",3.54027454669422,584.827160493827,151,"Alabama","Colbert County",54428,233,0,0,14.5107002258301,7.57010412216187,77.2831268310547,0.636068642139435,"large",9.85367083659109,2.41919077404222,4.37451915559031,4.04178655199375
"18","01035",3.76738936782015,-1185.39520958084,318,"Alabama","Conecuh County",13228,79,0,0,0.350099980831146,8.44569969177246,86.9672622680664,4.23693799972534,"medium",11.5839014855356,1.96851837372948,3.98498436278342,4.01183737294761
"19","01037",4.04792390865156,1225.44,222,"Alabama","Coosa County",11539,217,0,0,0.245178788900375,8.93251991271973,90.8120803833008,0.010221210308373,"large",10.5702228303362,2.32615324472244,4.23532838154808,3.66880375293198
"20","01039",3.95330074369802,1908.4453125,248,"Alabama","Covington County",37765,78,0,0,0.368694692850113,8.90974998474121,90.5806503295898,0.140905305743217,"medium",11.545977326036,2.1407310398749,4.12329945269742,4.00693510555121
"21","01041",3.88725938886397,11550.3230769231,155,"Alabama","Crenshaw County",13906,100,0,0,0.63129997253418,8.46525764465332,87.369743347168,3.53369927406311,"medium",11.0957740422205,1.79100469116497,3.8559890539484,3.77679046129789
"22","01043",3.58738038795256,341.886956521739,234,"Alabama","Cullman County",80406,216,0,0,1.76649987697601,7.04248571395874,77.5994415283203,13.5915727615356,"medium",9.90690383111806,2.20291634089132,4.21037138389367,4.01028146989836
"23","01045",4.1775621608722,1404.39655172414,101,"Alabama","Dale County",50251,88,0,13.8119983673096,1.10519993305206,24.0069713592529,2.74904417991638,58.3267860412598,"medium",11.4955824863174,2.48259186864738,4.43792806880375,3.90008991399531
"24","01047",3.47213971875315,403.882352941176,194,"Alabama","Dallas County",43820,62,0,0,0.0909383744001389,8.93932914733887,90.8813705444336,0.0883616283535957,"medium",11.0593158717748,1.81214229867084,3.79490617670055,3.85548475371384
"25","01049",3.68742480875927,693.985576923076,656,"Alabama","DeKalb County",71109,365,0,0,0.989899933338165,8.78289794921875,89.593994140625,0.633208453655243,"large",9.72792806880375,1.96803752931978,3.9407310398749,3.70065285379202
"26","01051",4.03685441667124,485.69696969697,98,"Alabama","Elmore County",79303,111,0,0,1.74179983139038,5.4793267250061,59.1327781677246,33.6460952758789,"medium",10.5702228303362,2.32615324472244,4.23532838154808,3.66880375293198
"27","01053",3.78111877979341,672.5,374,"Alabama","Escambia County",38319,34,0,0,1.10959994792938,6.01015853881836,41.6863746643066,51.1938667297363,"medium",11.6394409695074,1.87014073494918,3.88433541829554,4.08578577013292
"28","01055",3.69801115372172,1888.35714285714,136,"Alabama","Etowah County",104430,176,0,0,4.79429960250854,18.3092575073242,45.900951385498,30.995491027832,"large",9.80233385457389,2.16340109460516,4.12661454261142,3.85578186082877
"29","01057",3.6449352563482,741.12676056338,140,"Alabama","Fayette County",17241,157,0,0,0.488499969244003,7.97606420516968,81.7916259765625,9.74380970001221,"large",10.2412079749805,1.76783815480844,3.84877638780297,4.08485144644253
"30","01059",3.49359644416882,517.063492063492,159,"Alabama","Franklin County",31704,286,0,0,0.916699945926666,5.11041116714478,56.6649971008301,37.3078918457031,"large",10.0229945269742,2.07147771696638,4.11874902267396,4.1284401876466
